page,name,rate,time,IP,favor,comment
5,xiaobai,5,2024/4/22 10:19,湖北,4,小狐狸！在韩硕之后入坑的男人又来了。就之前播的时候就追了的，然后现在二刷，居然熬了个大夜一口气看完了，这又是优秀男朋友天花板了吧，高、白、瘦、有钱、情绪稳定、温柔体贴、无条件答应，哇，还会各种茶艺，这谁顶得住啊，当然另外两位也不错，但是轮颜值排序，搞事业的表哥无论如何都在最后。。咋呢，事业不能丢，爱情也不想放，得不到就毁掉，这样的男主除非长得帅哈，否则该死。。总之无脑喜欢
5,小野君oO,4,2023/12/11 15:34,北京,10,前面的几集来看还可以，等待后见吧
5,晴天有时下猪,4,2023/10/21 23:45,湖南,27,女性才懂女性！虽然中间段有点乏，但是依然很精彩，几款不同的男人爱着小6，真的难选…还是最爱白月光时期的叶17……
5,莫等嫌,3,2023/8/24 12:08,广东,133,是一部很合格同时大部分演技OK的片子，虽是仙侠但基本很多故事等同于武侠。有几场打戏做得很漂亮。
5,伯格曼的低诉,4,2024/1/17 14:04,辽宁,40,前十五集清水镇的故事都蛮好看的，后面就是普通偶像剧的套路了。涂山璟后面像个窝囊废一样。还是相柳有魅力啊。
5,锅锅要快乐,3,2024/2/25 1:52,北京,4,清水镇后变回女人的剧情又回归了男人权谋顺便恋爱，女人婚丧嫁娶成为男人挂件的设定……
5,糖醋排骨,4,2023/7/26 15:10,河北,1711,无聊时看看还不错，感觉像初中时看的爽文，置景道具下功夫了，特效不行但是懂得扬长避短，三个男角色颜值很高，内娱颜值盛宴。
5,莹航,3,2024/4/25 10:17,山东,0,6
5,可可,3,2024/2/1 0:29,黑龙江,1,等不来第二季我怕是就把第一季剧情给忘了男主的声音太像另一部我很爱的剧的男主了头一次发现声音像的惊到
5,瞧天r,3,2023/9/24 16:07,广东,53,想看张晚意演的璟?
5,feeling,4,2023/10/1 16:42,江苏,55,对涂山璟真的又爱又恨啊，有无数的优点却有一个致命的缺点，要么梅林虐杀同死结束，要么复活HE，怎么后面搞了一个退不了的婚还结婚生子了，真想让苍玹直接刀了他。演员得角色来成就的，之前看的剧里有邓为都没留下深刻的印象，但是这部剧里get了，喜欢的人都有同款小开扇双眼皮，他也很适合古装装造。
6,Niceee,3,2023/9/8 22:27,四川,351,相柳！演得！没话说！
6,猫咪心情,3,2023/8/16 23:07,江苏,227,三星最多给三位男主女主到底在干嘛呢人设矛盾
